player,team1,team2,team,Our Score
K Rabada,DC,RCB,DC,26
MP Stoinis,DC,RCB,DC,35
Mohammed Siraj,DC,RCB,RCB,25
P Shaw,DC,RCB,DC,25
Philippe,DC,RCB,RCB,18
R Ashwin,DC,RCB,DC,24
RR Pant,DC,RCB,DC,39
S Dhawan,DC,RCB,DC,36
S Dube,DC,RCB,RCB,15
SS Iyer,DC,RCB,DC,37
SV Samson,DC,RCB,RR,33
Shahbaz Ahmed,DC,RCB,DC,31
Shahbaz Ahmed ,DC,RCB,RCB,32
V Kohli,DC,RCB,RCB,42
Washington Sundar,DC,RCB,RCB,24
YS Chahal,DC,RCB,RCB,28
AT Rayudu,CSK,KXIP,CSK,31
CH Gayle,CSK,KXIP,KXIP,54
CJ Jordan,CSK,KXIP,KXIP,26
DJ Hooda,CSK,KXIP,KXIP,14
DL Chahar,CSK,KXIP,CSK,24
F du Plessis,CSK,KXIP,CSK,33
Imran Tahir,CSK,KXIP,CSK,35
JDS Neesham,CSK,KXIP,KXIP,29
KL Rahul,CSK,KXIP,KXIP,45
L Ngidi,CSK,KXIP,CSK,26
M Ashwin,CSK,KXIP,KXIP,14
MA Agarwal,CSK,KXIP,KXIP,23
Mandeep Singh,CSK,KXIP,KXIP,23
Mohammed Shami,CSK,KXIP,KXIP,25
N Pooran,CSK,KXIP,KXIP,39
RA Jadeja,CSK,KXIP,CSK,32
RD Gaikwad,CSK,KXIP,CSK,30
Ravi Bishnoi,CSK,KXIP,KXIP,29
S Curran,CSK,KXIP,CSK,30
SN Thakur,CSK,KXIP,CSK,24
Abhishek Sharma,SRH,RR,SRH,18
BA Stokes,SRH,RR,RR,37
DA Warner,SRH,RR,SRH,51
J Archer,SRH,RR,RR,37
J Bairstow,SRH,RR,SRH,37
JC Buttler,SRH,RR,RR,41
JD Unadkat,SRH,RR,RR,30
K Ahmed,SRH,RR,SRH,33
KS Williamson,SRH,RR,SRH,42
Kartik Tyagi,SRH,RR,RR,34
MK Pandey,SRH,RR,SRH,31
Priyam Garg,SRH,RR,SRH,20
R Parag,SRH,RR,RR,35
R Tewatia,SRH,RR,RR,27
RV Uthappa,SRH,RR,RR,32
Rashid Khan,SRH,RR,SRH,31
S Gopal,SRH,RR,RR,35
SPD Smith,SRH,RR,RR,36
SV Samson,SRH,RR,RR,33
Sandeep Sharma,SRH,RR,SRH,34
T Natarajan,SRH,RR,SRH,27
V Shankar,SRH,RR,SRH,28
AD Russell,KKR,MI,KKR,54
AS Yadav,KKR,MI,MI,24
EJG Morgan,KKR,MI,KKR,30
HH Pandya,KKR,MI,MI,34
JJ Bumrah,KKR,MI,MI,28
JL Pattinson,KKR,MI,MI,27
KA Pollard,KKR,MI,MI,35
KD Karthik,KKR,MI,KKR,29
KH Pandya,KKR,MI,MI,27
Kuldeep Yadav,KKR,MI,KKR,23
MK Pandey,KKR,MI,SRH,30
N Naik,KKR,MI,KKR,25
N Rana,KKR,MI,KKR,39
PJ Cummins,KKR,MI,KKR,28
Q de Kock,KKR,MI,MI,38
RD Chahar,KKR,MI,MI,26
RG Sharma,KKR,MI,MI,38
SP Narine,KKR,MI,KKR,38
SS Tiwary,KKR,MI,MI,24
Sandeep Warrier,KKR,MI,KKR,32
Shivam Mavi,KKR,MI,KKR,33
Shubman Gill,KKR,MI,KKR,33
TA Boult,KKR,MI,MI,23
AM Rahane,DC,CSK,DC,33
AT Rayudu,DC,CSK,CSK,30
Anrich Nortje,DC,CSK,DC,13
Carey,DC,CSK,DC,30
DJ Bravo,DC,CSK,CSK,44
DL Chahar,DC,CSK,CSK,22
Deshpande,DC,CSK,DC,26
F du Plessis,DC,CSK,CSK,32
HV Patel,DC,CSK,DC,29
K Rabada,DC,CSK,DC,25
KV Sharma,DC,CSK,CSK,25
MP Stoinis,DC,CSK,DC,34
MS Dhoni,DC,CSK,CSK,33
P Shaw,DC,CSK,DC,24
R Ashwin,DC,CSK,DC,22
RA Jadeja,DC,CSK,CSK,31
S Curran,DC,CSK,CSK,29
S Dhawan,DC,CSK,DC,35
SN Thakur,DC,CSK,CSK,23
SR Watson,DC,CSK,CSK,52
SS Iyer,DC,CSK,DC,35
AB de Villiers,KXIP,RCB,RCB,46
AJ Finch,KXIP,RCB,RCB,32
Cottrell,KXIP,RCB,KXIP,35
D Padikkal,KXIP,RCB,RCB,27
DW Steyn,KXIP,RCB,RCB,30
GJ Maxwell,KXIP,RCB,KXIP,36
JDS Neesham,KXIP,RCB,KXIP,30
KK Nair,KXIP,RCB,KXIP,32
KL Rahul,KXIP,RCB,KXIP,47
M Ashwin,KXIP,RCB,KXIP,16
MA Agarwal,KXIP,RCB,KXIP,25
Mohammed Shami,KXIP,RCB,KXIP,26
N Pooran,KXIP,RCB,KXIP,40
N Saini,KXIP,RCB,RCB,28
Philippe,KXIP,RCB,RCB,19
Ravi Bishnoi,KXIP,RCB,KXIP,31
S Dube,KXIP,RCB,RCB,16
UT Yadav,KXIP,RCB,RCB,29
V Kohli,KXIP,RCB,RCB,43
Washington Sundar,KXIP,RCB,RCB,25
YS Chahal,KXIP,RCB,RCB,29
AS Rajpoot,MI,RR,RR,27
AS Yadav,MI,RR,MI,25
HH Pandya,MI,RR,MI,34
J Archer,MI,RR,RR,36
JC Buttler,MI,RR,RR,41
JJ Bumrah,MI,RR,MI,28
JL Pattinson,MI,RR,MI,27
KA Pollard,MI,RR,MI,36
KH Pandya,MI,RR,MI,25
Kartik Tyagi,MI,RR,RR,34
M Lomror,MI,RR,RR,19
MK Pandey,MI,RR,SRH,30
Q de Kock,MI,RR,MI,38
R Tewatia,MI,RR,RR,26
RD Chahar,MI,RR,MI,27
RG Sharma,MI,RR,MI,39
S Gopal,MI,RR,RR,34
SPD Smith,MI,RR,RR,35
SV Samson,MI,RR,RR,33
T Curran,MI,RR,RR,26
TA Boult,MI,RR,MI,24
YBK Jaiswal,MI,RR,RR,26
AD Russell,SRH,KKR,KKR,53
Abdul Samad,SRH,KKR,SRH,16
Basil Thampi,SRH,KKR,SRH,27
CV Varun,SRH,KKR,KKR,32
DA Warner,SRH,KKR,SRH,50
EJG Morgan,SRH,KKR,KKR,29
J Bairstow,SRH,KKR,SRH,35
KD Karthik,SRH,KKR,KKR,29
KS Williamson,SRH,KKR,SRH,41
Kuldeep Yadav,SRH,KKR,KKR,23
L Ferguson,SRH,KKR,KKR,24
MK Pandey,SRH,KKR,SRH,29
N Rana,SRH,KKR,KKR,38
PJ Cummins,SRH,KKR,KKR,28
Priyam Garg,SRH,KKR,SRH,18
RA Tripathi,SRH,KKR,KKR,28
Rashid Khan,SRH,KKR,SRH,29
Sandeep Sharma,SRH,KKR,SRH,33
Shivam Mavi,SRH,KKR,KKR,33
Shubman Gill,SRH,KKR,KKR,33
T Natarajan,SRH,KKR,SRH,25
V Shankar,SRH,KKR,SRH,26
nan,SRH,KKR,MI,26
CJ Jordan,KXIP,CSK,KXIP,26
Cottrell,KXIP,CSK,KXIP,33
DJ Bravo,KXIP,CSK,CSK,45
DL Chahar,KXIP,CSK,CSK,24
F du Plessis,KXIP,CSK,CSK,33
GJ Maxwell,KXIP,CSK,KXIP,34
Harpreet Singh,KXIP,CSK,CSK,25
KL Rahul,KXIP,CSK,KXIP,45
MA Agarwal,KXIP,CSK,KXIP,23
Mandeep Singh,KXIP,CSK,KXIP,23
Mohammed Shami,KXIP,CSK,KXIP,24
N Pooran,KXIP,CSK,KXIP,39
PP Chawla,KXIP,CSK,CSK,29
RA Jadeja,KXIP,CSK,CSK,32
Ravi Bishnoi,KXIP,CSK,KXIP,29
S Curran,KXIP,CSK,CSK,30
SN Khan,KXIP,CSK,KXIP,23
SN Thakur,KXIP,CSK,CSK,24
SR Watson,KXIP,CSK,CSK,53
A Zampa,RCB,RR,RCB,39
AB de Villiers,RCB,RR,RCB,44
AJ Finch,RCB,RR,RCB,31
D Padikkal,RCB,RR,RCB,26
I Udana,RCB,RR,RCB,20
J Archer,RCB,RR,RR,36
JC Buttler,RCB,RR,RR,41
JD Unadkat,RCB,RR,RR,30
M Lomror,RCB,RR,RR,19
N Saini,RCB,RR,RCB,26
R Parag,RCB,RR,RR,35
R Tewatia,RCB,RR,RR,26
RV Uthappa,RCB,RR,RR,32
S Dube,RCB,RR,RCB,14
S Gopal,RCB,RR,RR,34
SPD Smith,RCB,RR,RR,35
SV Samson,RCB,RR,RR,33
T Curran,RCB,RR,RR,26
V Kohli,RCB,RR,RCB,41
Washington Sundar,RCB,RR,RCB,23
YS Chahal,RCB,RR,RCB,28
A Mishra,DC,KKR,DC,28
AD Russell,DC,KKR,KKR,53
AR Patel,DC,KKR,DC,30
Anrich Nortje,DC,KKR,DC,13
CV Varun,DC,KKR,KKR,32
EJG Morgan,DC,KKR,KKR,29
HV Patel,DC,KKR,DC,28
K Rabada,DC,KKR,DC,24
KD Karthik,DC,KKR,KKR,29
KL Nagarkoti,DC,KKR,KKR,30
MP Stoinis,DC,KKR,DC,33
N Rana,DC,KKR,KKR,38
P Shaw,DC,KKR,DC,24
PJ Cummins,DC,KKR,KKR,28
R Ashwin,DC,KKR,DC,22
RA Tripathi,DC,KKR,KKR,28
RR Pant,DC,KKR,DC,37
S Dhawan,DC,KKR,DC,34
S Hetmyer,DC,KKR,DC,30
SP Narine,DC,KKR,KKR,38
SS Iyer,DC,KKR,DC,35
Shivam Mavi,DC,KKR,KKR,33
Shubman Gill,DC,KKR,KKR,33
AT Rayudu,CSK,SRH,CSK,28
Abdul Samad,CSK,SRH,SRH,15
Abhishek Sharma,CSK,SRH,SRH,15
DA Warner,CSK,SRH,SRH,48
DJ Bravo,CSK,SRH,CSK,43
DL Chahar,CSK,SRH,CSK,21
F du Plessis,CSK,SRH,CSK,31
J Bairstow,CSK,SRH,SRH,34
K Ahmed,CSK,SRH,SRH,31
KM Jadhav,CSK,SRH,CSK,18
KS Williamson,CSK,SRH,SRH,39
MK Pandey,CSK,SRH,SRH,28
MS Dhoni,CSK,SRH,CSK,31
P Kumar,CSK,SRH,SRH,22
PP Chawla,CSK,SRH,CSK,26
Priyam Garg,CSK,SRH,SRH,17
RA Jadeja,CSK,SRH,CSK,30
Rashid Khan,CSK,SRH,SRH,28
S Curran,CSK,SRH,CSK,27
SN Thakur,CSK,SRH,CSK,22
SR Watson,CSK,SRH,CSK,50
T Natarajan,CSK,SRH,SRH,24
AS Yadav,MI,KXIP,MI,26
Arshdeep Singh,MI,KXIP,KXIP,35
CH Gayle,MI,KXIP,KXIP,55
CJ Jordan,MI,KXIP,KXIP,27
DJ Hooda,MI,KXIP,KXIP,15
GJ Maxwell,MI,KXIP,KXIP,36
HH Pandya,MI,KXIP,MI,36
Ishan Kishan,MI,KXIP,MI,31
JJ Bumrah,MI,KXIP,MI,30
KA Pollard,MI,KXIP,MI,37
KD Karthik,MI,KXIP,KKR,31
KH Pandya,MI,KXIP,MI,28
KL Rahul,MI,KXIP,KXIP,46
M Ashwin,MI,KXIP,KXIP,16
MA Agarwal,MI,KXIP,KXIP,25
Mohammed Shami,MI,KXIP,KXIP,26
N Pooran,MI,KXIP,KXIP,40
NM Coulter-Nile,MI,KXIP,MI,37
Q de Kock,MI,KXIP,MI,40
RD Chahar,MI,KXIP,MI,29
RG Sharma,MI,KXIP,MI,40
Ravi Bishnoi,MI,KXIP,KXIP,31
SA Yadav,MI,KXIP,MI,16
TA Boult,MI,KXIP,MI,26
AS Rajpoot,RR,SRH,RR,27
BA Stokes,RR,SRH,RR,36
DA Warner,RR,SRH,SRH,50
J Archer,RR,SRH,RR,36
J Bairstow,RR,SRH,SRH,36
JC Buttler,RR,SRH,RR,40
JO Holder,RR,SRH,SRH,30
Kartik Tyagi,RR,SRH,RR,33
MK Pandey,RR,SRH,SRH,30
R Parag,RR,SRH,RR,35
R Tewatia,RR,SRH,RR,26
RV Uthappa,RR,SRH,RR,32
Rashid Khan,RR,SRH,SRH,30
S Gopal,RR,SRH,RR,34
S Nadeem,RR,SRH,SRH,21
